field,year,net_oil_prod_yearly_mill_sm3,net_gas_prod_yearly_bill_sm3,net_ngl_prod_yearly_mill_sm3,net_condensate_prod_yearly_mill_sm3,net_oil_eq_prod_yearly_mill_sm3,produced_water_yearly_mill_sm3,field_id,net_oil_prod_monthly_sm3_volatility,net_gas_prod_monthly_sm3_volatility,net_ngl_prod_monthly_sm3_volatility,net_condensate_prod_monthly_sm3_volatility,net_oil_eq_prod_monthly_sm3_volatility,produced_water_in_field_volatility,status,current_status,field_owner,processing_field,field_in_emissions,facilities_lifetime_mean,facilities_lifetime_std,facilities_water_depth_mean,facilities_water_depth_std,subsea_facilites_shut_down,surface_facilites_shut_down,subsea_facilites_in_service,surface_facilites_in_service,facility_kind_multi well template,facility_kind_single well template,facility_kind_offshore wind turbine,facility_kind_subsea structure,facility_kind_fpso,facility_kind_jacket 8 legs,facility_kind_condeep monoshaft,facility_kind_loading system,facility_kind_jacket 4 legs,facility_kind_jacket tripod,facility_kind_fsu,facility_kind_semisub steel,facility_kind_condeep 4 shafts,facility_kind_landfall,facility_kind_tlp concrete,facility_kind_jack-up 3 legs,facility_kind_jacket 6 legs,facility_kind_tlp steel,facility_kind_semisub concrete,facility_kind_mopustor,facility_kind_spar,well_status_closed,well_status_drilling,well_status_injecting,well_status_junked,well_status_online/operational,well_status_p&a,well_status_plugged,well_status_producing,well_status_suspended,well_purpose_injection,well_purpose_observation,well_purpose_production,well_subsea_no,well_subsea_yes,well_final_vertical_depth_mean,well_final_vertical_depth_std,well_water_depth_mean,well_water_depth_std,investments_mill_nok,future_investments_mill_nok,yearly_co2_emissions_1000_tonnes,org_number,operator,yearly_ch4_emissions_tons,yearly_nox_emissions_tons,yearly_oil_spill_emissions_tons,yearly_water_emissions_m3,ownership_original,ownership_new_name,current_remaining_recoverable_oil,current_remaining_recoverable_gas,current_remaining_recoverable_ngl,current_remaining_recoverable_condensate,current_remaining_recoverable_oe,original_recoverable_oil,original_recoverable_gas,original_recoverable_ngl,original_recoverable_condensate,original_recoverable_oe,electrified,years_electrified,electricity_mw,imported_power_2023_gwh/y,yearly_tco2e_gwp100,yearly_tco2e_gwp20,kgco2e/toe_int_gwp100,share_peak_prod,oe_cum_sum_prod,share_reserve_of_original_reserve,oe_fac_prod_mill_sm3,yearly_fac_tco2e_gwp100,oe_share_prod,yearly_tco2e_prod_share_emissions,share_intensity_tco2e/toe_gwp100,gas_reserve_ratio,oil_reserve_ratio,oil_gas_reserve_ratio
oseberg øst,2001,3.81286,0.0,0.0,0.0,3.81286,0.33164,43639,0.0338481356632649,0.0,0.0,0.0,0.0338481356632649,0.0312135711549067,Producing,Producing,3500071.0,oseberg,True,20.0,0.0,157.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,13.0,3.0,28.0,44.0,0.0,2992.0625,99.4881319196272,158.0,0.0,710.0,352.0,101.384759,993246603.0,equinor energy as,51.026119,496.099235,,26.0,"{'Den norske stats oljeselskap a.s': 59.4, 'Norsk Hydro Produksjon AS': 19.6, 'TotalFinaElf Exploration Norge AS': 9.333, 'Mobil Development Norway AS': 7.0, 'Total Norge AS': 4.667}","{'Equinor ASA': 59.4, 'Norsk Hydro ASA': 19.6, 'TotalEnergies EP Norge': 4.667, 'Mobil Development Norway AS': 7.0}",0.62,0.01,0.01,0.0,0.65,24.18,0.37,0.11,0.0,24.76,0,0,0,0.0,249760.91613000003,252516.326556,77.98199355976504,100.0,7.27735,70.60844103392569,23.99075,2632818.9229619997,0.1589304210997989,418435.0201058696,130.64653008436287,1.4943457189014539e-05,0.9765751211631664,65.35135135135135
valhall,2001,4.3628,0.88235,0.21291,0.0,5.45804,0.26712,43548,0.0500679980051372,0.009517158149491,0.0030912313668886,0.0,0.0621728024919013,0.0045867972585355,Producing,Producing,41657.0,valhall,True,31.88888888888889,4.013864859597431,70.77777777777777,2.587362449376672,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,15.0,0.0,261.0,39.0,4.0,0.0,12.0,22.0,330.0,364.0,0.0,2589.0,55.11200716117433,70.75,1.2583057392117911,3620.0,48783.0,281.14213,974313316.0,aker bp asa,193.272319,1189.21309,6.338563,308401.0,"{'BP Amoco Norge AS': 28.09377, 'Enterprise Oil Norwegian AS': 28.09376, 'Amerada Hess Norge AS': 28.09376, 'TotalFinaElf Exploration Norge AS': 15.71871}","{'Aker BP': 28.09376, 'Shell': 28.09376, 'TotalEnergies EP Norge': 15.71871}",31.83,6.08,0.85,0.0,39.53,158.52,30.5,6.02,0.0,200.46,0,13,78,388.0,638947.37421,649384.079436,139.36351436858027,82.63947770052569,29.84489,85.11179786491071,5.892499999999999,638947.37421,0.9262689859991515,591837.1364163172,129.08810113946302,0.00015215005487379028,0.7907812032325651,5.197377049180329
åsgard,2001,8.31997,3.89172,1.3064,0.68144,14.19954,0.13644,43765,0.060384436052879,0.2807858690759335,0.0721276773674588,0.0469224887608825,0.4385519910403492,0.0026122125766205,Producing,Producing,40564.0,åsgard,True,21.73076923076923,5.990376898377546,289.3076923076923,18.87807030555661,0.0,0.0,25.0,4.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,3.0,2.0,0.0,0.0,53.0,45.0,0.0,26.0,4.0,105.0,0.0,135.0,4340.66,761.7124671860547,281.65,19.697786113616363,2179.0,14137.0,830.030202,993247006.0,equinor energy as,2928.922001,2241.41677,8.028175,202950.0,"{'Den norske stats oljeselskap a.s': 60.5, 'Norsk Hydro Produksjon AS': 9.6, 'Norsk Agip AS': 7.9, 'Total Norge AS': 7.65, 'Mobil Development Norway AS': 7.35, 'Fortum Petroleum AS': 7.0}","{'Equinor ASA': 60.5, 'Norsk Hydro ASA': 9.6, 'Vår Energi AS': 7.9, 'TotalEnergies EP Norge': 7.65, 'Mobil Development Norway AS': 7.35, 'Fortum Petroleum AS': 7.0}",6.66,27.1,4.75,0.0,42.79,110.66,241.61,42.97,17.11,451.02,0,0,0,0.0,1581357.2259499999,1739519.014004,132.57951497942554,57.089545037873314,26.64456,94.09237727816948,27.06577,2064922.5881359999,0.5246309268127233,1083322.2512103168,90.824727186863,0.0005356968648840407,0.24535497317192143,0.45801084392202307
jotun,2001,5.47981,0.20569,0.0,0.0,5.68549,4.50766,43604,0.1167127478788167,0.007160446225726,0.0,0.0,0.1235158383998021,0.1024161050752657,Producing,Shut down,38724022.0,jotun,True,20.0,0.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.0,5.0,18.0,28.0,0.0,2178.083333333333,88.15220136820523,127.0,0.0,168.0,0.0,167.198231,993256978.0,vår energi asa,1877.188757,670.126559,75.083469,2813039.0,"{'Enterprise Oil Norwegian AS': 45.0, 'Esso Exploration and Production Norway A/S': 45.0, 'Norske Conoco A/S': 3.75, 'Det Norske Oljeselskap AS': 3.25, 'Den norske stats oljeselskap a.s': 3.0}","{'Shell': 45.0, 'Esso Exploration and Production Norway A/S': 45.0, 'ConocoPhillips': 3.75, 'Aker BP': 3.25, 'Equinor ASA': 3.0}",0.0,0.0,0.0,0.0,0.0,23.14,0.88,0.0,0.0,24.02,0,0,0,0.0,421871.355174,523239.548052,88.3350078495559,76.02416517684625,14.03956,41.550541215653624,5.68549,421871.355174,1.0,421871.355174,88.3350078495559,3.6636136552872606e-05,0.9633638634471274,26.295454545454547
norne,2001,11.29729,1.08495,0.20846,0.0,12.59066,0.30332,43778,0.0947609321549698,0.0389937079131772,0.0084045591884116,0.0,0.1213150320321834,0.0135997756220349,Producing,Producing,40672.0,norne,True,24.285714285714285,1.889822365046136,376.875,2.167124493754004,0.0,0.0,9.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,15.0,0.0,0.0,0.0,42.0,6.0,0.0,26.0,6.0,43.0,0.0,75.0,2757.5333333333333,97.00166665234828,377.6666666666667,2.8867513459481207,998.0,1353.0,397.639212,893246592.0,equinor energy as,1438.56997,1376.130763,26.437089,400716.0,"{'Statens Direkte Økonomiske Engasjement SDØE': 55.0, 'Statoil ASA (old)': 24.0, 'Norsk Hydro Produksjon AS': 8.1, 'Norsk Agip AS': 6.9, 'Enterprise Oil Norwegian AS': 6.0}","{'Petoro AS': 55.0, 'Equinor ASA': 24.0, 'Norsk Hydro ASA': 8.1, 'Vår Energi AS': 6.9, 'Shell': 6.0}",1.16,1.39,0.06,0.0,2.66,93.96,13.05,1.37,0.0,109.61,0,0,0,0.0,848131.016948,925813.7953279999,80.1927605130273,100.0,38.04692,65.28882401240762,12.59066,848131.016948,1.0,848131.016948,80.1927605130273,0.00011905848006568745,0.8572210564729495,7.199999999999999
gullfaks sør,2001,3.83817,0.59912,0.15126,0.0,4.58856,0.3716399999999999,43699,0.0490046728987051,0.0919542863041031,0.0229667583892261,0.0,0.1490518108212406,0.0068624551662718,Producing,Producing,21188.0,gullfaks,True,20.9375,2.015564437074638,135.9375,2.015564437074631,0.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,71.0,15.0,0.0,15.0,20.0,68.0,2.0,101.0,3355.0,207.47392262987796,135.125,0.8345229603962776,2408.0,5693.0,,,,,,,,"{'Statens Direkte Økonomiske Engasjement SDØE': 73.0, 'Statoil ASA (old)': 18.0, 'Norsk Hydro Produksjon AS': 9.0}","{'Petoro AS': 73.0, 'Equinor ASA': 18.0, 'Norsk Hydro ASA': 9.0}",4.11,19.88,2.39,0.0,28.53,63.66,105.1,12.94,0.0,193.35,0,0,0,0.0,,,0.0,51.06826263334502,10.462679999999999,94.58873545384019,21.55758,3254611.036126,0.21285134973406106,692748.35189879,179.72967966576246,0.000543573829842255,0.32924747866563225,0.605708848715509
yme,2001,0.20651,0.0,0.0,0.0,0.20651,0.22626,43807,0.0523351400203761,0.0,0.0,0.0,0.0523351400203761,0.0354762186609028,Producing,Producing,2786469.0,yme,True,20.0,7.071067811865476,86.4,7.797435475847171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,7.0,0.0,43.0,37.0,13.0,3189.6666666666665,99.81148898465212,92.66666666666669,0.5773502691896247,0.0,972.0,32.219262,920149790.0,repsol norge as,29.340821,302.63068,3.619848,156480.0,"{'Den norske stats oljeselskap a.s': 65.0, 'Norsk Hydro Produksjon AS': 25.0, 'RWE Dea Norge AS': 10.0}","{'Equinor ASA': 65.0, 'Norsk Hydro ASA': 25.0, 'Wintershall Dea Norge AS': 10.0}",6.28,0.0,0.0,0.0,6.28,15.81,0.0,0.0,0.0,15.81,0,0,0,0.0,122678.16790999999,124262.57224399998,707.2075831102379,10.431009662738601,6.7113000000000005,57.55028462998102,0.20651,122678.16790999999,1.0,122678.16790999999,707.2075831102379,0.0,1.0,inf
varg,2001,1.18533,0.0,0.0,0.0,1.18533,1.06662,43451,0.0195663384993904,0.0,0.0,0.0,0.0195663384993904,0.0137233725645503,Producing,Shut down,,varg,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,6.0,0.0,11.0,17.0,0.0,3165.633333333333,235.6012379707151,84.0,0.0,58.0,0.0,58.457524,893258272.0,repsol norge as,182.845769,435.747777,16.714675,1068668.0,"{'Den norske stats oljeselskap a.s': 58.0, 'Norsk Hydro Produksjon AS': 42.0}","{'Equinor ASA': 58.0, 'Norsk Hydro ASA': 42.0}",0.0,0.0,0.0,0.0,0.0,16.33,0.3,0.02,0.02,16.69,0,0,0,0.0,192924.239062,202797.910588,193.7618327124494,68.01960255475919,4.67584,71.984182144997,1.18533,192924.239062,1.0,192924.239062,193.7618327124494,1.7974835230677048e-05,0.9784301977231874,54.43333333333333
gullfaks,2001,10.53195,0.82713,0.19669,0.0,11.55573,25.28666,43686,0.092080061125187,0.0111022668651701,0.0058059099331211,0.0,0.0959081724762143,0.206559146309822,Producing,Producing,21188.0,gullfaks,True,28.571428571428573,2.439750182371333,216.8571428571429,91.38641141042902,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,5.0,0.0,0.0,0.0,753.0,93.0,0.0,256.0,79.0,652.0,987.0,0.0,2085.277777777778,185.87581726637936,148.72222222222223,25.85308384785932,1257.0,28815.0,1204.073223,993246328.0,equinor energy as,11427.196781,5769.330776,604.541696,46178008.0,"{'Statens Direkte Økonomiske Engasjement SDØE': 73.0, 'Statoil ASA (old)': 18.0, 'Norsk Hydro Produksjon AS': 9.0}","{'Petoro AS': 73.0, 'Equinor ASA': 18.0, 'Norsk Hydro ASA': 9.0}",12.95,0.0,0.0,0.0,12.95,390.72,23.08,2.83,0.0,419.18,0,0,0,108.0,3254611.036126,3871679.6623,335.29140502322633,44.454604732933376,91.84976,78.08822940025765,21.55758,3254611.036126,0.536040223438809,1744602.4270113946,179.72967966576246,5.5059878811011974e-05,0.9321055393864212,16.928942807625653
heimdal,2001,0.01268,0.22777,0.0,0.0,0.24045,2e-05,43590,0.0025203294637925,0.0262634971216821,0.0,0.0,0.0277963693263575,3.892494720807615e-06,Producing,Shut down,2473189.0,heimdal,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3423.0,0.0,120.2,0.0,-41.0,0.0,88.451956,993246492.0,equinor energy as,124.15955,740.862438,0.236234,5518.0,"{'Den norske stats oljeselskap a.s': 40.0, 'Marathon Petroleum Norge AS': 23.798, 'Norsk Hydro Produksjon AS': 19.274, 'TotalFinaElf Exploration Norge AS': 11.939, 'Total Norge AS': 4.82, 'AS Uglands Rederi': 0.169}","{'Equinor ASA': 40.0, 'Aker BP': 23.798, 'Norsk Hydro ASA': 19.274, 'TotalEnergies EP Norge': 4.82, 'AS Uglands Rederi': 0.169}",0.0,0.0,0.0,0.0,0.0,6.66,46.2,0.0,0.0,52.86,0,0,0,0.0,311472.024148,318176.639848,1542.1086660329345,7.7087320746732315,5.82813,88.97440408626561,0.24045,311472.024148,1.0,311472.024148,1542.1086660329345,0.0008740068104426789,0.12599318955732122,0.14415584415584415
ula,2001,1.3229,0.00633,0.0695,0.0,1.39871,4.07044,43800,0.021971049891467,0.0014380360660542,0.0018287145675848,0.0,0.0238764069393477,0.0866875394561969,Producing,Producing,20916.0,ekofisk,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,73.0,14.0,0.0,23.0,0.0,70.0,93.0,0.0,3423.0,0.0,70.5,0.0,615.0,145.0,170.557604,993302392.0,aker bp asa,450.613581,744.31759,7.869279,411716.0,"{'BP Amoco Norge AS': 80.0, 'Svenska Petroleum Exploration AS': 15.0, 'Pelican AS': 5.0}","{'Aker BP': 80.0, 'Svenska Petroleum Exploration AS': 15.0, 'PGNiG': 5.0}",0.97,0.0,0.04,0.0,1.05,78.02,3.85,3.04,0.0,87.65,0,0,0,0.0,404394.01807,428727.15144399996,344.1896104863291,56.03020409798305,8.41723,90.39677124928694,21.363660000000003,1820561.788512,0.06547145947838524,119194.83736445998,101.44963281171323,4.392470051340559e-05,0.890131203650884,20.264935064935063
heidrun,2001,10.22593,1.34405,0.19245,0.0,11.76237,1.62854,43771,0.0839705265888338,0.0256417126283552,0.0079579224390197,0.0,0.0936757884820153,0.0222220864061506,Producing,Producing,40490.0,heidrun,True,31.071428571428573,11.465428206397002,322.92857142857144,93.37555625266448,0.0,0.0,17.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0,2.0,0.0,0.0,163.0,5.0,0.0,68.0,11.0,150.0,158.0,71.0,2522.0176470588235,208.53121539500424,351.0352941176471,5.361546089570449,1849.0,31614.0,420.693886,979188676.0,equinor energy as,1795.762495,2278.782821,67.987118,1062309.0,"{'Statens Direkte Økonomiske Engasjement SDØE': 64.15547, 'Norske Conoco A/S': 18.29251, 'Statoil ASA (old)': 12.43138, 'Fortum Petroleum AS': 5.12064}","{'Petoro AS': 64.15547, 'ConocoPhillips': 18.29251, 'Equinor ASA': 12.43138, 'Fortum Petroleum AS': 5.12064}",30.0,23.71,1.96,0.0,57.43,204.91,52.47,3.05,0.0,263.18,0,0,0,0.0,1149086.475866,1246057.650596,116.29969898214956,85.34043683177973,62.19531,76.36776730754616,11.76237,1149086.475866,1.0,1149086.475866,116.29969898214956,0.00019936925298274944,0.7785925982217493,3.9052792071659996
tordis,2001,4.75389,0.33648,0.32291,0.0,5.41329,1.10333,43725,0.0869564592326109,0.0066693532465504,0.0065884174652923,0.0,0.099830297380104,0.0217152616873827,Producing,Producing,21516.0,gullfaks,True,13.909090909090908,3.3601947995479504,203.25,8.603646161525198,0.0,0.0,32.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,10.0,74.0,7.0,0.0,8.0,40.0,56.0,0.0,104.0,2234.95,32.597622612699936,200.5,0.7071067811865476,496.0,4367.0,,,,,,,,"{'Den norske stats oljeselskap a.s': 58.22, 'Norsk Hydro Produksjon AS': 13.28, 'Esso Exploration and Production Norway A/S': 10.5, 'Idemitsu Petroleum Norge AS': 9.6, 'TotalFinaElf Exploration Norge AS': 5.6, 'RWE Dea Norge AS': 2.8}","{'Equinor ASA': 58.22, 'Norsk Hydro ASA': 13.28, 'Esso Exploration and Production Norway A/S': 10.5, 'Idemitsu Petroleum Norge AS': 9.6, 'TotalEnergies EP Norge': 5.6, 'Wintershall Dea Norge AS': 2.8}",6.35,0.29,0.12,0.0,6.87,72.26,5.12,1.94,0.0,81.07,0,0,0,0.0,,,0.0,100.0,24.08037,70.29681756506723,21.55758,3254611.036126,0.2511084268271299,817260.2572158151,179.72967966576246,6.315529789071175e-05,0.8913284815591466,14.11328125
hod,2001,0.3767,0.04272,0.01508,0.0,0.43446,0.0423199999999999,43485,0.00572184940435,0.0009889480177533,0.0002901201423026,0.0,0.0068936644167604,0.0014533618290228,Producing,Producing,21052.0,valhall,True,30.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,30.0,36.0,0.0,2917.5,159.0990257669732,72.0,0.0,9.0,119.0,,,,,,,,"{'Enterprise Oil Norwegian AS': 25.0, 'BP Amoco Norge AS': 25.0, 'Amerada Hess Norge AS': 25.0, 'TotalFinaElf Exploration Norge AS': 25.0}","{'Shell': 25.0, 'Aker BP': 25.0, 'TotalEnergies EP Norge': 25.0}",4.75,0.82,0.12,0.0,5.8,15.52,2.64,0.62,0.0,19.34,0,13,78,0.0,,,0.0,59.17461182239172,1.64733,91.48226473629782,5.892499999999999,638947.37421,0.07373101400084855,47110.237793682936,129.08810113946302,0.00013650465356773527,0.8024819027921406,5.878787878787878
sleipner øst,2001,0.0,11.64126,1.82125,1.87688,15.33938,0.04432,43478,0.0,0.2145001019495414,0.0222907067706103,0.0211158640635782,0.236840004139094,0.0007094598884597,Producing,Producing,41211.0,sleipner øst,True,38.0,16.431676725154983,83.6,0.8944271909999153,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,16.0,0.0,0.0,14.0,16.0,8.0,0.0,34.0,0.0,90.0,100.0,24.0,2696.5,296.2777413171634,82.0,0.0,290.0,1423.0,,,,,,,,"{'Esso Exploration and Production Norway A/S': 30.4, 'Statens Direkte Økonomiske Engasjement SDØE': 29.6, 'Statoil ASA (old)': 20.0, 'TotalFinaElf Exploration Norge AS': 10.0, 'Norsk Hydro Produksjon AS': 10.0}","{'Esso Exploration and Production Norway A/S': 30.4, 'Petoro AS': 29.6, 'Equinor ASA': 20.0, 'TotalEnergies EP Norge': 10.0, 'Norsk Hydro ASA': 10.0}",0.03,0.18,0.01,0.0,0.23,0.42,69.43,13.41,26.62,121.95,0,16,0,0.0,,,0.0,91.61755114425031,68.29829,43.99484214842148,19.44715,0.0,0.7887726479201322,0.0,0.0,0.0005693316933169332,0.003444034440344403,0.006049258245715108
gyda,2001,1.1159,0.23448,0.11057,0.0,1.46092,0.93485,43492,0.0203111262985377,0.0048992541176275,0.0022582231886368,0.0,0.0272790800075919,0.016777102067636,Producing,Shut down,,gyda,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,132.0,0.0,0.0,61.0,0.0,75.0,136.0,0.0,4126.55,5.020458146424745,66.0,0.0,234.0,0.0,93.234517,993258253.0,repsol norge as,113.983853,319.68899,14.758456,934621.07863,"{'BP Amoco Norge AS': 56.0, 'Statens Direkte Økonomiske Engasjement SDØE': 30.0, 'Norske AEDC A/S': 5.0, 'Norske Moeco A/S': 5.0, 'Pelican AS': 4.0}","{'Aker BP': 56.0, 'Petoro AS': 30.0, 'Kuwait Petroleum Company': 5.0, 'Norske Moeco A/S': 5.0, 'PGNiG': 4.0}",0.0,0.0,0.0,0.0,0.0,36.27,6.2,1.91,0.0,46.1,0,0,0,0.0,191281.97362999996,197437.101692,155.8720773716627,43.020365855095,10.95587,76.23455531453362,1.46092,191281.97362999996,1.0,191281.97362999996,155.8720773716627,0.00013449023861171366,0.786767895878525,5.8500000000000005
brage,2001,2.22885,0.16728,0.1577899999999999,0.0,2.55389,6.18629,43651,0.0313680254471738,0.0027796042883835,0.0024981937414253,0.0,0.0355657653211453,0.0836570327922647,Producing,Producing,40432.0,brage,True,20.0,0.0,136.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,242.0,21.0,0.0,76.0,55.0,162.0,293.0,0.0,2286.2,127.92802663998204,136.95999999999998,0.0547722557505195,483.0,2064.0,210.774241,993245437.0,okea asa,154.021968,911.519336,61.061659,1870250.0,"{'Statens Direkte Økonomiske Engasjement SDØE': 34.2567, 'Norsk Hydro Produksjon AS': 24.4424, 'Esso Exploration and Production Norway A/S': 16.3434, 'Statoil ASA (old)': 12.7, 'Fortum Petroleum AS': 12.2575}","{'Petoro AS': 34.2567, 'Norsk Hydro ASA': 24.4424, 'Esso Exploration and Production Norway A/S': 16.3434, 'Equinor ASA': 12.7, 'Fortum Petroleum AS': 12.2575}",1.7,0.35,0.07,0.0,2.18,62.53,4.71,1.5,0.0,70.09,0,0,0,0.0,485204.62349599996,493521.8097679999,226.1744052331746,40.891943908054806,21.780900000000003,68.92438293622486,2.55389,485204.62349599996,1.0,485204.62349599996,226.1744052331746,6.719931516621485e-05,0.8921386788414895,13.276008492569002
sleipner vest,2001,0.0,0.0,1.36337,2.1505,3.51386,0.1127399999999999,43457,0.0,0.0,0.0205414350469454,0.025530189912527,0.0443736918031666,0.0037361440988367,Producing,Producing,40848.0,sleipner øst,True,33.333333333333336,15.275252316519468,100.33333333333331,15.044378795195676,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,10.0,39.0,0.0,0.0,0.0,58.0,58.0,0.0,3294.333333333333,681.0993564329167,108.0,0.0,391.0,3555.0,,,,,,,,"{'Statens Direkte Økonomiske Engasjement SDØE': 32.37453, 'Esso Exploration and Production Norway A/S': 32.23936, 'Statoil ASA (old)': 17.12838, 'TotalFinaElf Exploration Norge AS': 9.4112, 'Norsk Hydro Produksjon AS': 8.84653}","{'Petoro AS': 32.37453, 'Esso Exploration and Production Norway A/S': 32.23936, 'Equinor ASA': 17.12838, 'TotalEnergies EP Norge': 9.4112, 'Norsk Hydro ASA': 8.84653}",1.3,7.78,0.21,0.0,9.48,6.88,155.67,10.57,29.74,212.37,0,0,0,0.0,,,0.0,53.54045406064301,21.47028,89.89015397655037,19.44715,0.0,0.18068765860293154,0.0,0.0,0.0007330131374487921,0.03239628949474973,0.04419605575897732
embla,2001,0.49512,0.08215,0.04321,0.0,0.62046,0.00845,43534,0.0135623094037717,0.0030051605866434,0.0009895679344894,0.0,0.0164417680425079,0.0002256086044995,Producing,Producing,20900.0,embla,True,20.0,0.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,10.0,0.0,4506.05,91.99459223237008,70.7,0.0,0.0,0.0,0.105264,872450912.0,conocophillips skandinavia as,0.189999,2.30265,,,"{'Phillips Petroleum Company Norway': 35.112, 'Total Norge AS': 31.87, 'Norsk Agip AS': 12.388, 'TotalFinaElf Exploration Norge AS': 8.026, 'Norsk Hydro Produksjon AS': 6.654, 'Den norske stats oljeselskap a.s': 5.95}","{'ConocoPhillips': 35.112, 'TotalEnergies EP Norge': 8.026, 'Vår Energi AS': 12.388, 'Norsk Hydro ASA': 6.654, 'Equinor ASA': 5.95}",0.36,0.32,0.04,0.0,0.76,12.51,5.73,0.67,0.0,19.51,0,0,0,0.0,792.54837,802.808316,1.520662031856549,56.71325283584545,4.36235,77.64044079958995,0.62046,792.54837,1.0,792.54837,1.520662031856549,0.0002936955407483342,0.6412096360840593,2.183246073298429
