fldName,fldStatusFromDate,fldStatusToDate,fldStatus,fldNpdidField,fldStatusDateUpdated,datesyncNPD
GLITNE,08.09.2000,28.08.2001,Approved for production,1272071,28.02.2023,29.05.2024
GLITNE,29.08.2001,23.02.2013,Producing,1272071,28.02.2023,29.05.2024
GLITNE,24.02.2013,,Shut down,1272071,28.02.2023,29.05.2024
GOLIAT,18.06.2009,11.03.2016,Approved for production,5774394,28.02.2023,29.05.2024
GOLIAT,12.03.2016,,Producing,5774394,28.02.2023,29.05.2024
GRANE,14.06.2000,22.09.2003,Approved for production,1035937,28.02.2023,29.05.2024
GRANE,23.09.2003,,Producing,1035937,28.02.2023,29.05.2024
GUDRUN,16.06.2010,06.04.2014,Approved for production,18116481,28.02.2023,29.05.2024
GUDRUN,07.04.2014,,Producing,18116481,28.02.2023,29.05.2024
GULLFAKS,09.10.1981,21.12.1986,Approved for production,43686,28.02.2023,29.05.2024
GULLFAKS,22.12.1986,,Producing,43686,28.02.2023,29.05.2024
GULLFAKS SØR,29.03.1996,09.10.1998,Approved for production,43699,28.02.2023,29.05.2024
GULLFAKS SØR,10.10.1998,,Producing,43699,28.02.2023,29.05.2024
GUNGNE,29.08.1995,20.04.1996,Approved for production,43464,28.02.2023,29.05.2024
GUNGNE,21.04.1996,,Producing,43464,28.02.2023,29.05.2024
GYDA,02.06.1987,20.06.1990,Approved for production,43492,28.02.2023,29.05.2024
GYDA,21.06.1990,28.02.2020,Producing,43492,28.02.2023,29.05.2024
GYDA,29.02.2020,,Shut down,43492,28.02.2023,29.05.2024
HALTEN ØST,13.02.2023,,Approved for production,42148955,28.02.2023,29.05.2024
HANZ,21.05.2013,19.04.2024,Approved for production,25307278,25.04.2024,29.05.2024
HANZ,20.04.2024,,Producing,25307278,25.04.2024,29.05.2024
HEIDRUN,14.05.1991,17.10.1995,Approved for production,43771,28.02.2023,29.05.2024
HEIDRUN,18.10.1995,,Producing,43771,28.02.2023,29.05.2024
HEIMDAL,10.06.1981,12.12.1985,Approved for production,43590,28.02.2023,29.05.2024
HEIMDAL,13.12.1985,05.09.2023,Producing,43590,19.09.2023,29.05.2024
HEIMDAL,06.09.2023,,Shut down,43590,19.09.2023,29.05.2024
HOD,26.06.1988,29.09.1990,Approved for production,43485,28.02.2023,29.05.2024
HOD,30.09.1990,,Producing,43485,28.02.2023,29.05.2024
HUGIN,27.06.2023,,Approved for production,42002474,08.08.2023,29.05.2024
HULDRA,02.02.1999,20.11.2001,Approved for production,97002,28.02.2023,29.05.2024
HULDRA,21.11.2001,02.09.2014,Producing,97002,28.02.2023,29.05.2024
HULDRA,03.09.2014,,Shut down,97002,28.02.2023,29.05.2024
HYME,24.06.2011,01.03.2013,Approved for production,20474183,28.02.2023,29.05.2024
HYME,02.03.2013,,Producing,20474183,28.02.2023,29.05.2024
IDUN NORD,28.06.2023,,Approved for production,42002477,10.08.2023,29.05.2024
IRPA,28.06.2023,,Approved for production,42002482,10.08.2023,29.05.2024
ISLAY,05.07.2010,09.04.2012,Approved for production,21105675,28.02.2023,29.05.2024
ISLAY,10.04.2012,,Producing,21105675,28.02.2023,29.05.2024
IVAR AASEN,21.05.2013,23.12.2016,Approved for production,23384520,28.02.2023,29.05.2024
IVAR AASEN,24.12.2016,,Producing,23384520,28.02.2023,29.05.2024
JETTE,17.02.2012,19.05.2013,Approved for production,21613906,28.02.2023,29.05.2024
JETTE,20.05.2013,12.12.2016,Producing,21613906,28.02.2023,29.05.2024
JETTE,13.12.2016,,Shut down,21613906,28.02.2023,29.05.2024
JOHAN CASTBERG,11.06.2018,,Approved for production,32017325,28.02.2023,29.05.2024
JOHAN SVERDRUP,18.06.2015,04.10.2019,Approved for production,26376286,28.02.2023,29.05.2024
JOHAN SVERDRUP,05.10.2019,,Producing,26376286,28.02.2023,29.05.2024
JOTUN,10.06.1997,24.10.1999,Approved for production,43604,28.02.2023,29.05.2024
JOTUN,25.10.1999,12.12.2016,Producing,43604,28.02.2023,29.05.2024
JOTUN,13.12.2016,,Shut down,43604,28.02.2023,29.05.2024
KNARR,09.06.2011,15.03.2015,Approved for production,20460988,28.02.2023,29.05.2024
KNARR,16.03.2015,30.04.2022,Producing,20460988,28.02.2023,29.05.2024
KNARR,01.05.2022,,Shut down,20460988,28.02.2023,29.05.2024
